post_time,content
2020-02-17, 鈺德 甦醒 雄獅 股價 翻倍 翻倍 意外 錸寶 錸德 BR 發現 市場 遺忘 蒙塵 鑽石志 解鎖 十壘安成 勇險 接受 挑戰 擅長 朋友 資料 收集 整合 做日 夢夢 BRBR 頂重點 鈺德 公司 市值 億密 留意 資產 重估 售租回 售土性 鈺德 公司 華亞 科技 園區 坪土列帳 億萬 公司 價值 低估 華亞 科技 園區 成交價 市值 美國 中國 貿易戰 持續 BRBR 鈺德 錸寶錸德集團 交叉 持股子公司 股價 變化 BRBRBR 短線 籌碼 凌亂 時間 沉澱 BR 國際 局勢 動盪 變化 BRBR BR 追價 買盤 猛烈 開盤 慣性 改變 改變 慣例 前日 高日 開低 慣性 BR 鈺德公司 市值 公司 市值 遠低 華亞 科技 園區 價值 BR 土市價 元鈺德 公司 億土成 億土 市價 BR 億億 BR 價元 遠低 淨值元 BR 淨值元 列入 億未土真實 市價 BR 成交量 成交值 價量 揚氣 強強 BR 沖戶 現股 沖戶 持續 角力 肌肉 BR 長期 投資 分點 買盤 持續 增加 持股 BRBR 月線 BR 正面 迎戰 數十 高價 BR 數十 回收 庫藏股 減資 縮股 籌碼 BR 土斯 財土 價值 公司 市值 低估 BR 急行軍 BRBRBR 武漢 肺炎 營業額 年度 新高 BR 股價 低估 遠低 淨值 BR 技術 面相 強勢 BR 太陽 持續 旺季 產業 發展 BR 配息 現金 股利 BR 強力 投資司 職相 優秀 BRBR 旱拔 價量 BR BR 團結 BR 啟動 微笑 模式 BR 喜歡 感樣 危險 BRBRBR 填息路 咫尺 心協力 BRBRBR 盈餘 盈餘 元幅 BR 公告 毛利 營業 收入 毛利率 BR 鈺德 低價股 中王 BR 主力 進場 籌碼 穩相 健康 BR 夏季 太陽電廠 發電 旺季 營收 毛利 盈餘 令期 BRBR 網友 詢問 線型 解讀 技術 分析 BR 前輩 吝嗇 解惑 BR BRBR 鈺德邁 填息路 BR 留意 重轉 投資 持股 張錸寶 收盤 價元 漲元 BR 股價 淨值 低低 融資 籌碼 乾淨 公司 價值 低估 BR 發行 發行 發行 持股 籌碼 相穩 BRQ 財報 顯示 現金 現金 投資 市值 億土 資產 忽計 鈺德公司 市值 BRBRBR 營收 站穩 夏季 發電 旺季 BR 鈺德 息元 訂息 交易 發放 BRBRBR 留意 太陽電廠 發電 旺季 夏季日 時間 增加 需求 增業績 持續 回升 BR 肺炎 降溫 國旅 開放 陽明山 文創 事業 業績 持續 回升 BR 投資 錸寶張 金融 資產 持續 BR 現金 股利元 發放 淨值元 遠低 股價 BR 資產 開發 BRBRBR 毛利率 毛利率 BRQ 營業 利益率 營業 利益率 BR 營業 利益 約稅 盈餘 BRQ 盈餘 公允 價值 衡量 金融 商品 損失 季度 調整 損益 BR 市櫃 收盤價 計算 市櫃 收盤價 計算 BR 留意 水果 公司 LED 鉅量 轉換 題材 投資 持股 錸寶 張突集團 母公司 錸德 持續 飆漲 錸寶 張續 公司 BR 價元 股價 回升元 市值 回升 BR 長期 發展 潛力 樂司 文創 陽明山 武漢 肺炎 疫情 嚴峻 顯示 公司 BR 太發 發電 事業 貢獻 穩售電 BRBRBRQ 毛利率 記錄 資料 毛利率 新高 BR BRBR 公告 年稅 盈餘元 平毛利率 激賞 BRQ 認列 韓國 重子公司 UTech 資產 減損 新台幣 BRQ 認列 韓國 子公司 現金流 資產 減損 公告 BR BR 持續期 配合 政策 太陽電廠 售電 收益 持續 挹注 關注 價值 華亞 科技 園區 資產 議題 BR 減資 UTech Media Korea Co Ltd 認列 現金流 資產 減損 擺脫 長期 虧損 韓國子公司 BR BR 公布 營收 YOY 亮麗 營收 工作 天數 肺炎 疫情 台灣 公司 影響 太陽電廠 動化 理休 感染 肺炎 BRBR 錸德子 公司 鈺德華亞 科技 園區 坪土 位置圖 BR 土市價 相驚 冷門 產業 護城河 苦撐 淘汰賽 許久 年年 賺錢 BR 磨劍 生意 年發點 股利 股東 軍心 BR 穩社 配合 國家 政策 製造 現金流 長期 持土 證券 王道 BR 忽年 建物 計算 簡法 估計 鈺德 坪土 市價 BR 年月 BR 全球壽 購買 吉祥 全子 公司 浩瀚 數位 公司 華亞科技 園區 BR 成交 土坪 廠房 總面積 BR 年月 BR 秋雨 創新 標售土 廠房 總面積 坪戴德 梁行億 取消 標售 BR 中美 貿易戰 持續 持續 取消 標售 靜時機 BR 年月 BR 廣達 購買 中環華亞 科技 園區 BR 成交 億土坪 廠房 總面積 BR 年月 Yahoo 新聞 BR 華亞 科技 園區 鈺德 擁約 坪土 資產 早期 潛利益 貢獻 BR 土市價 年年 攀升 指標 性型 交易 成交 金額 參考 BRBR 持續 買回 庫藏股 減資 精益 求精 BR 庫藏股 減資 現金 減資 BR 預錄碟 穩健 毛利 BR 年藍重 年重 持續 升高 PC 材料 簽長約 材料 BR 文創 陽明山 美軍俱樂部 草山鎮 損平 拓展 企業 陽明山 婚禮 BR 持續型 集團 陽明山 開發 文創 產業 BR BR 投資 題材 實力 強勁 BR 錸寶 持股 PMOLED 模組 BR 厚聚源開發股份限公司 未市 持股 支持 國家 政策 太陽 頂型 電廠 BR 設置 總容量 MW 併電 MW 案場 MW 併電 持續 開發 案廠 規模 BRBR 毛利率 營益率 持續 BR 年季 毛利率 營益率 BR 年季 毛利率 營益率 BR 年季 毛利率 營益率 BRBR 現金 股利 配發 利股 淨值元 BR 營收 盈餘 持續 QQ 股稅 盈餘 BR 台灣 土優質 廠商 冷門 產業 佼佼 市占率 毛利率 高遠 武漢 肺炎 疫區 中國 BRBR 鈺德 民國 年成 現始 終平 股價 跌位數 公司 終點色 BR 鈺德公司 台灣公司 BR 神準 友達 神達 穩懋茂 台灣 美艾斯摩 SML 台積電 設備 供應商 台灣國際航電 Garmin 公司
2020-02-22, 實踐 財富 價值 百  李哥 BR 關注 發文章 百 年 時間 警惕 標語 BR 文章 提生 孩次 感觸 身教 BR 省視 言行 舉止 符合 教導孩 標準 約束 提醒 BR 狀況 迷思 李哥 撥冗提點 謝謝 弟歲 婚婆 BR 年齡孩 母親 未婚 住家 透天 BR 警職 輪夜班 少月 收約 存款 股票 BR 萬遠東銀 萬合庫 全球 聽信 網路 名牌 績效 慘富 美元 收益 BR 基金 美元 萬含 配息 婆家 顧孩 夫妻 原先 台北市 工作 BR婆 原先 外商 公司 班船 運業 月收 原先 計畫 孩胎 BR 龍鳳胎 原先 計畫 亂討 辭職 舉家 搬回 家母 BR 親住 歲子 公托婆 母親家 雙寶 雙寶 預計 明年 公托 BR 工作 工作 接送孩 BR 母親 伙食費 孝親 媽媽 朋友 空間 BR 摩擦 抱怨 媽媽 頂嘴 房子 BR 領育 津貼 存萬 未濟 壓力 BR 房希李哥 幫弟 指點 迷津 BR 母親 贊助 萬加 存款 目標 市區 年透 市價 萬現金 萬加信 貸款 裝潢 傢俱 目標 正確 市區 接送 BR 投資 面事 公職 身體 錢日 退休 月退 存實達 財富 狀況 說實 困難 股票 基金 哥樓 推薦 持恆 兩樣 績效 BR 工作 面婆原 台北 外商 公司 海運部 薪水 明年 寶月 學育 津貼 學領歲 工作 考量 接送 孩生病 工作 早餐 店工 清潔 公司 工日 開店 基礎 總覺 工實 浪費 力孩 顧走 接送 工作 關係 確素 準時 接送 時間 相賴 BR 李哥 建議 資產 配置 投資 理財式標 長遠 規劃 敬請 李哥 提點 指教 感謝 BR 敬祝 BR 新年樂 身體 健康 BRBR 居住 喜歡 BR 藍天 碧海 口罩 須排 BR BR 孩子 犧牲 薪水 陪伴 BR 前寬裕 BR BR 世少 BR 百萬數 心血 BR 難求 BR 幸福 BR 回答 提問 BR 令堂 贊助 資金 BR BR BR BR BR 積怨 婚姻 BR 接辦 BR 萬備款 BR 忘記 房價 殺價 BR 工作 BR 十萬 籌備 BR 警職 身分 BR 房貸 萬甚 信貸 BR 攤提 控制 兩萬 BR 薪水 扣掉 孝親 結餘 貴府月 花萬 BR BR 資金 BR 節省 BR 理財步 BR 萬萬 投資 BR 工作 時間 BR 計時 工作 BR 東西 網路 創業 BR 孩子 家庭 犧牲 BR 公費 留學 博士 BR 龍鳳 BR 放棄機 BR 工作 BR 專心 理家兄 資產 進帳 BR 整理 BR 開源節 流收支 BR 公務 系統 補助 BR 房產 BR 提昇 升機 BR 太太相夫教子 BR 時間 BR 年百 BR BR 風景 BRBR 生進 BRBRBRBRBR BRBRBRBRBR 年日 東北 旅行 生日 BR 颱風 BR 選擇 BR 風雨 BR 破壞 心情 BR 國家 城市 BR 選擇 典餐點 BR 落點 註腳 BR 聚餐 凝聚 情感 BR 消費 世界 BR 品味 心滋味 BR 驗積累 BR 發 生 BR 東北 盛岡
2020-03-01, 中貿談 結束 商品 加徵 關稅 南韓 受益 中國 肺炎 停工 份口年 成長 美元 中國 工業 生產 國口 受益 中國 武漢 肺炎 BR 南韓 月旬 爆發 武漢 肺炎 規模 停滯 實質 濟成長 衰退 BRBR 南韓 產業 通商 資源部日 公佈 顯示 受益 晶片口 表現 強勁 南韓 月口 年期 成長 南韓 口續 反彈 南韓 月口額 美元 年期 美元 BR 南韓 石化 產品 口額 美元 年期 汽車 口額 美元 年期 船舶口 年期 成長 BR 武漢 肺炎 疫情 南韓 月中 國口 年期 美元 美國 年期 成長 東南亞 國協口 年期 成長 BR
2020-03-06, 香腸 LDS 部  外 太空 星星S 教授 新冠 肺炎 疫情 嚴峻 飯店業 營運國 飯店業 亞麗緻 昨日 宣布 暫停 交易 市場 猜測 直營 台中 亞緻 飯店 營運 變動 台中 亞緻飯店 日午 BR亞麗緻飯店 鎖集團 直營 飯店 包括 台北亞麗緻台中亞緻飯店 投資 麗緻理 顧問 公司 提供 加盟 盟點 陽明山 中國 麗緻 台南 億麗緻 烏璞石 麗緻溫泉館
2020-03-09, 請問 SP 原油 壁紙市 Thanks 瑞德西韋月 盲標 BR 果賭月 盲航 海運 相關 類股 佈局 項目
2020-03-11, 歲身房 存款 工作 青銀 模式 BRBR 青銀 北擴 試辦 BR 聯合報 記祁容玉 陳靖宜線 報導 BR 新北市 年峽 北社 住宅 試辦 青銀 計畫 評名 住戶 續住 新北市 城鄉局 土城 員段 青年 社宅 規畫 青銀 空間 預計 容納 擴青銀 居計畫 BR 北市 陽明 公寓 引進 青銀 祖孫 新社 福利 年輕 銀髮族 陽明 公寓 學生 低市場 行情 月元 租金 公寓 長輩 唱歌 烹飪 教導 年輕 荷包 陪伴 BR 北市府 工務局長 彭振聲 世代 工務局 融式 遊具 孩長 身障 遊憩 北市 遊具場 加緊 施工 預計 明年 完工 區座 融式 遊戲場 BR 新北市 城鄉局 指面 高齡 少子 趨勢 新北市 世代 全齡 友善 議題 納入 社宅 計畫 城鄉局 住宅 科長 鄭健志 新北年峽 社宅 房廳 格局戶 開放 試辦 青銀居 體驗 營年 Long Stay 試驗算 續住 新北市 試辦 示範點 土城 員段 青年 社宅 BR 城鄉局 年月 工作 平台 推動 特色 公園 年底 超座 特色 融公園 遊戲場 建線 里長 公員 教育 訓練 接受 融公園 BRhttpsvisionudncomvisionstory
2020-03-11, 紐約 原油 趨勢 追蹤 美國 保證 頁岩 油倒片 供應 油源 BR 俄沙 持續 加勁 BR 美死透 油價 價區 BRBR 沙特国家 航运 公司 罕见预订 超型 油轮来运 石油 BR 沙特拉伯 航运 公司 预订 批油 轮将 原油 运送 给美 客户 船舶 纪举 对该 公司 言实属 罕见 BR 根据 解情 况知 情士 透露 沙特拉伯 国家航运 公司 预订 超型 油轮 月沙特 石油 港口 装载 原油 运美 墨西哥 湾这 超级油 装载约 桶步 预订无法落实 Bahri沙特国家航运 公司 来说 举非 罕见该 公司 世界运 石油 参与 预订位 船舶 经纪 Bahri 现货 市场为 西哥 湾航 线预订 级油 现象 几年 没现 BR周OPEC 与盟 特别 罗斯 谈判 破裂 沙特 决幅 石油公司 沙特美 月天 万桶 石油 创纪 与月 相高 BRhttpsnewsfxcomshtml
2020-03-12, 金融股 長期 投資 交流園 外資 狠心 玉山 砍成 陽明山 BR 玉山 標高 mBR 陽明山 標高
2020-03-13, 解決 震盪 結束 接主菜 失業率 債務 違約 先進 BR 篇法 BR 麻煩 鞭力 BR 聊聊 BR 空頭 結束 股市 BR 股市 修正 疫情 BR 疫情 結束 空頭 結束 BR 世界 疫情 整麻痺 空頭 結束 BR 疫情 影響 BR 疫情塊 石頭 BR 擋住 流動 BR 爆發 原料 供應 BR 現斷 歐美 消費端 BR 海運 航空 旅遊 中斷 BR BR BR 空郵輪客 BR 觀區 店家客 BR 旅館客 BR 餐廳客 BR 工廠 客戶 BR 企業 BR 裁員 假天 BR 失業 房貸 BR 工廠 店家 倒閉 BR 銀行 呆帳 直線 BR 情況 BR 局勢 發生性 BR 股市 漲回 BR 空頭 反彈 BR 支撐 BR 股市 跌期 BR 抵抗 BR 空頭 油燈 BR 空頭 前期 震盪 BR 浪理 反彈波 BR 政府 堆利 激勵 BR 政府 金融 事變 BR 震盪 結束 BR 現實 BR 疫情 結束 BR 解決 先面 BR 解決疫 先面 疫情 BR 解決 疫情 實簡 BR BR 鍾南山 BR 民家 禮拜 BR 新冠 肺炎 BR 禮拜 BR 解決 疫情法 BR 世界 斷航 疫情 結束 BR 實施 淨空 BR BR BR BR 武漢 肺炎 薩瓦 死守確診 宣布 鎖國天 BR 遏制 武漢 肺炎播 菲律賓 宣布 馬尼拉 封城日 BR 防堵 疫情 印度 鎖國月 菲律賓 宣布 封城 BR 顧濟 解決 疫情 BR 果先 解決 疫情 BR 實施 斷航 BR 濟肯 掛掉 BR 解決 疫情 BR 感染 BR 回復 早晚 BR 果先 顧濟 BR 日東奧 願面 疫情 BR 美國 股市 隱瞞 疫情 BR 拖久濟樣 掛掉 BR門病 回家 真陸 隱瞞 BR 病情 實施 國性 BR 接國 外國 BR 疫情 控制 BR 濟回早晚
2020-03-14, 民國 十年 現塊 BR 陽明山 畫入 國家 公園 年代 仰德道 BR 家父 開價 土坪元 BR 買座 山坡 BR 蘭雅天母東西路 間層 透天 BR BR
2020-03-15, 發生 股災 股票 簡短 完久 新聞 BR 新冠 肺炎 疫情 退導 航空 運輸 價格 受惠 攬業 捷迅 營收 累計 營收 逾成 台灣 攬業 表現 亮眼 公司 日法 營運展 提受 界期 BR 航空 租賃業 高層 透露 空運 價格 農曆年 外貨 攬業 中菲行 營收 北美區 成長 台灣區 成長 疫情 持續 月運價 飆高 BR 中國 陸日 積拚 復工 電子 組件 醫材 產品 搶進 城市 海運 緩濟 航空 貨運艙 難求 全球 產業鏈 供應 節奏 BR 航空 貨運 價格 日斷漲 價法 優先 受惠 航空 重高 捷迅 中菲行效益公司 觀察 BR 航空 貨運價 推升 航空貨 攬業 營收 揚主法 捷迅 轉型 操作 轉口 郵包 業務 業績 表現 提升
2020-03-15, 川普 股市 漲回 BRBDI 指數 春暖鴨 先知 BR 報復性 消費 史詩級 行情 BR 史押 韻感 股市 領先 漲完 BR 傻空 破產 BRBR 路透社日 報導 海峽 型船 capesize 平日 營利 跳升 美元 美元 鋼鐵廠 復工 商業 復甦 中國港口 囤積 鐵礦 砂庫 持續 船隻 紀商 Fearnleys 月日 發表 研究 報告 指型 船隻 言壞 狀況 BR 面載運 原油 儲油 平台 超型 油輪 Very Large Crude Carrier 簡稱 VLCC 報價 原油 交易商 尋找 船隻 存放 原油 動跳 油價 月日 兩成 原油 交易 買進量 原油 BR 船隻 紀商 透露 中東航 亞洲 VLCC 租費日 報價 美元 美元 跳升 美元 激增 BR 油價 正價差 contango 原油 期期貨 價格 低遠 期期 貨海 儲油 需求 原油 需求 新型 冠狀 病毒 COVID 武漢 肺炎 備受 擊油 輪業 說場 時雨
2020-03-17, 金融股 長期 投資 交流園 FF 隧道 頭陽 BR 肺炎 疫苗 醫跳 動物 實驗 BR 中時 電子 尉遲佩玉 BRBRBR 新型 冠狀 病毒 疫苗 試驗位 美國 接受 陽明 醫學 博士 胸腔 重症 醫師 蘇峰 天統 疫苗 發展 通需 時間 情況 緊急 罕跳 動物 實驗 期床 試驗 BRBR 蘇峰 臉書 發文指 新型 冠狀 病毒 疫苗 生技公司 Moderna 美國 國家 衛生院 合作 mRN 疫苗 疫苗 發展 時間 期床 試驗市 正式 情況 緊急 疫苗 罕跳 動物 實驗 期床 試驗 目標 年市 預計 年月 正式 BR 蘇峰 解釋 注射 RN 疫苗 mRN 利體 細胞 製造 蛋體 冠狀 病毒 免疫力 優點 感染 風險 研發 疫苗 速缺點 免疫力 德國 CureVac 生技公司 疫苗
2020-03-17, 股災 受傷 慘重 公司 華航 高鐵 漢翔陽明 官股
